language,protocol,scenario,response_time_ms,response_size_bytes,status
Python,GraphQL,Simple_Fetch,2.7232310003455495,80,200
JS,REST,Complex_Fetch,2.52371700025833,2802,200
JS,GraphQL,Complex_Fetch,2.2491219997391454,2306,200
Python,REST,Complex_Fetch,3.1119880004553124,2803,200
Python,GraphQL,Complex_Fetch,78.19454699983908,1028,200
JS,REST,Simple_Fetch,2.8915860002598492,180,200
JS,GraphQL,Simple_Fetch,1.656161000028078,79,200
Python,REST,Simple_Fetch,3.295072000582877,181,200
Python,GraphQL,Simple_Fetch,2.61915500050236,75,200
JS,REST,Complex_Fetch,2.7814399991257233,180,200
JS,GraphQL,Complex_Fetch,1.923562999763817,90,200
Python,REST,Complex_Fetch,3.082764000282623,181,200
Python,GraphQL,Complex_Fetch,62.54417400032253,642,200
JS,REST,Simple_Fetch,2.8319940001892974,807,200
JS,GraphQL,Simple_Fetch,1.57534099980694,79,200
Python,REST,Simple_Fetch,3.1150750000961125,808,200
Python,GraphQL,Simple_Fetch,3.605101999710314,71,200
JS,REST,Complex_Fetch,2.036845000475296,807,200
JS,GraphQL,Complex_Fetch,1.9150770003761863,614,200
Python,REST,Complex_Fetch,3.1039040004543494,808,200
Python,GraphQL,Complex_Fetch,59.74294799943891,469,200
JS,REST,Simple_Fetch,2.678806999938388,2157,200
JS,GraphQL,Simple_Fetch,1.535536000119464,78,200
Python,REST,Simple_Fetch,3.112970999609388,2158,200
Python,GraphQL,Simple_Fetch,2.875666000363708,72,200
JS,REST,Complex_Fetch,2.8538749993458623,2157,200
JS,GraphQL,Complex_Fetch,2.268218000608613,1743,200
Python,REST,Complex_Fetch,3.787264000493451,2158,200
Python,GraphQL,Complex_Fetch,60.898632000316866,83,200
JS,REST,Simple_Fetch,2.846260999831429,1946,200
JS,GraphQL,Simple_Fetch,1.95769600031781,79,200
Python,REST,Simple_Fetch,3.545441000824212,1947,200
Python,GraphQL,Simple_Fetch,2.827216000696353,72,200
JS,REST,Complex_Fetch,2.8454299999793875,1946,200
JS,GraphQL,Complex_Fetch,2.6227429998471052,1577,200
Python,REST,Complex_Fetch,3.7245260000418057,1947,200
Python,GraphQL,Complex_Fetch,61.28554699989763,83,200
JS,REST,Simple_Fetch,2.7865490001204307,2252,200
JS,GraphQL,Simple_Fetch,1.5174119998846436,77,200
Python,REST,Simple_Fetch,3.500466999867058,2253,200
Python,GraphQL,Simple_Fetch,3.1547380003758008,78,200
JS,REST,Complex_Fetch,2.5376720004715025,2252,200
JS,GraphQL,Complex_Fetch,2.963650999845413,1839,200
Python,REST,Complex_Fetch,3.7415580000015325,2253,200
Python,GraphQL,Complex_Fetch,58.75478599955386,1152,200
JS,REST,Simple_Fetch,2.95479400028853,1801,200
JS,GraphQL,Simple_Fetch,1.7232680002052803,77,200
Python,REST,Simple_Fetch,3.1790950006325147,1802,200
Python,GraphQL,Simple_Fetch,2.831433999745059,80,200
JS,REST,Complex_Fetch,2.8213850000611274,1801,200
JS,GraphQL,Complex_Fetch,1.8798609999066684,1473,200
Python,REST,Complex_Fetch,3.4351540007264703,1802,200
Python,GraphQL,Complex_Fetch,61.10111100042559,641,200
JS,REST,Simple_Fetch,2.3165989996414282,423,200
JS,GraphQL,Simple_Fetch,1.3416429992503254,77,200
Python,REST,Simple_Fetch,3.641600999799266,424,200
Python,GraphQL,Simple_Fetch,3.138459000183502,76,200
JS,REST,Complex_Fetch,2.781911000056425,423,200
JS,GraphQL,Complex_Fetch,1.9288029998278944,312,200
Python,REST,Complex_Fetch,3.2332259997929214,424,200
Python,GraphQL,Complex_Fetch,59.9646919999941,513,200
JS,REST,Simple_Fetch,2.5818150006671203,2604,200
JS,GraphQL,Simple_Fetch,1.7782610002541333,80,200
Python,REST,Simple_Fetch,3.7689189994125627,2605,200
Python,GraphQL,Simple_Fetch,2.92055999943841,71,200
JS,REST,Complex_Fetch,2.0947540006091003,2604,200
JS,GraphQL,Complex_Fetch,2.024602000346931,2153,200
Python,REST,Complex_Fetch,3.309308000098099,2605,200
Python,GraphQL,Complex_Fetch,59.52678300036496,2118,200
JS,REST,Simple_Fetch,3.470028999799979,1389,200
JS,GraphQL,Simple_Fetch,1.6735150002205046,73,200
Python,REST,Simple_Fetch,3.398485000616347,1390,200
Python,GraphQL,Simple_Fetch,3.0919509999876027,75,200
JS,REST,Complex_Fetch,2.4487760001647985,1389,200
JS,GraphQL,Complex_Fetch,1.954260999809776,1098,200
Python,REST,Complex_Fetch,2.9303379997145385,1390,200
Python,GraphQL,Complex_Fetch,58.70664699978079,2262,200
JS,REST,Simple_Fetch,2.4856159998307703,1605,200
JS,GraphQL,Simple_Fetch,1.3678919995072647,74,200
Python,REST,Simple_Fetch,3.06556199939223,1606,200
Python,GraphQL,Simple_Fetch,2.7901760004169773,75,200
JS,REST,Complex_Fetch,2.5103220004893956,1605,200
JS,GraphQL,Complex_Fetch,1.9679860006363015,1280,200
Python,REST,Complex_Fetch,3.07675299973198,1606,200
Python,GraphQL,Complex_Fetch,58.656743000028655,1418,200
JS,REST,Simple_Fetch,2.766801999314339,406,200
JS,GraphQL,Simple_Fetch,1.6190630003620754,84,200
Python,REST,Simple_Fetch,3.1249730000126874,407,200
Python,GraphQL,Simple_Fetch,2.8210840000610915,78,200
JS,REST,Complex_Fetch,2.760881000540394,406,200
JS,GraphQL,Complex_Fetch,3.853698000057193,306,200
Python,REST,Complex_Fetch,2.9717059996983153,407,200
Python,GraphQL,Complex_Fetch,60.57665900061693,603,200
JS,REST,Simple_Fetch,2.4583549993622,346,200
JS,GraphQL,Simple_Fetch,1.3971070002298802,74,200
Python,REST,Simple_Fetch,3.8274889993772376,347,200
Python,GraphQL,Simple_Fetch,3.009005999956571,72,200
JS,REST,Complex_Fetch,2.3863199994593742,346,200
JS,GraphQL,Complex_Fetch,1.9328200005475082,216,200
Python,REST,Complex_Fetch,3.4496210000725114,347,200
Python,GraphQL,Complex_Fetch,59.227302000181226,1566,200
JS,REST,Simple_Fetch,2.7557209996302845,1365,200
JS,GraphQL,Simple_Fetch,1.8783679997795844,73,200
Python,REST,Simple_Fetch,3.096359000664961,1366,200
Python,GraphQL,Simple_Fetch,2.7618229996733135,72,200
JS,REST,Complex_Fetch,2.5395669999852544,1365,200
JS,GraphQL,Complex_Fetch,1.8250680004712194,1111,200
Python,REST,Complex_Fetch,2.970262999951956,1366,200
Python,GraphQL,Complex_Fetch,58.90599000031216,1877,200
JS,REST,Simple_Fetch,2.9074660005790065,570,200
JS,GraphQL,Simple_Fetch,2.0110660007048864,76,200
Python,REST,Simple_Fetch,3.0929230006222497,571,200
Python,GraphQL,Simple_Fetch,2.741094000157318,72,200
JS,REST,Complex_Fetch,2.559163000114495,570,200
JS,GraphQL,Complex_Fetch,1.8430419995638658,431,200
Python,REST,Complex_Fetch,2.936259000307473,571,200
Python,GraphQL,Complex_Fetch,59.37021999943681,83,200
JS,REST,Simple_Fetch,2.602515000035055,1260,200
JS,GraphQL,Simple_Fetch,1.3298809999469086,73,200
Python,REST,Simple_Fetch,2.9297769997356227,1261,200
Python,GraphQL,Simple_Fetch,2.863753999918117,76,200
JS,REST,Complex_Fetch,1.700584999525745,1260,200
JS,GraphQL,Complex_Fetch,1.6986819991871016,997,200
Python,REST,Complex_Fetch,3.0980230003478937,1261,200
Python,GraphQL,Complex_Fetch,58.516550999229366,1049,200
JS,REST,Simple_Fetch,2.279880000060075,156,200
JS,GraphQL,Simple_Fetch,1.8455669996910729,77,200
Python,REST,Simple_Fetch,2.9611760000989307,157,200
Python,GraphQL,Simple_Fetch,2.5942390002455795,72,200
JS,REST,Complex_Fetch,2.4113170002237894,156,200
JS,GraphQL,Complex_Fetch,1.9324690001667477,88,200
Python,REST,Complex_Fetch,2.9270229997564456,157,200
Python,GraphQL,Complex_Fetch,60.15999900046154,2259,200
JS,REST,Simple_Fetch,2.365270000154851,1953,200
JS,GraphQL,Simple_Fetch,2.59134299994912,84,200
Python,REST,Simple_Fetch,3.283990999989328,1954,200
Python,GraphQL,Simple_Fetch,3.662850999717193,88,200
JS,REST,Complex_Fetch,2.4272359996757586,1953,200
JS,GraphQL,Complex_Fetch,1.7983689995162422,1590,200
Python,REST,Complex_Fetch,3.046957000151451,1954,200
Python,GraphQL,Complex_Fetch,58.92462500014517,2287,200
JS,REST,Simple_Fetch,2.3380789998554974,1365,200
JS,GraphQL,Simple_Fetch,1.312297999902512,73,200
Python,REST,Simple_Fetch,3.1191620000754483,1366,200
Python,GraphQL,Simple_Fetch,2.615108000100008,72,200
JS,REST,Complex_Fetch,2.2495430002891226,1365,200
JS,GraphQL,Complex_Fetch,2.159263999601535,1111,200
Python,REST,Complex_Fetch,3.1111169992072973,1366,200
Python,GraphQL,Complex_Fetch,58.29748999985895,1877,200
JS,REST,Simple_Fetch,2.6089160000992706,977,200
JS,GraphQL,Simple_Fetch,1.3846239999111276,71,200
Python,REST,Simple_Fetch,2.910751999479544,978,200
Python,GraphQL,Simple_Fetch,2.5692519993754104,74,200
JS,REST,Complex_Fetch,2.278126999954111,977,200
JS,GraphQL,Complex_Fetch,1.9275610002296162,794,200
