lang,proto,scenario,ms,bytes
JS,GraphQL,Overfetch_Scenario,2.4415539992332924,76
Python,REST,Overfetch_Scenario,16.802744999949937,1775
Python,GraphQL,Overfetch_Scenario,3.617967000536737,76
JS,GraphQL,RealWorld_Complex,5.777152000518981,435
Python,GraphQL,RealWorld_Complex,69.66623100015568,435
JS,REST,RealWorld_Complex,14.99770299778902,3384
Python,REST,RealWorld_Complex,34.393206999084214,3386
JS,GraphQL,N_Plus_One_List,19.184225999197224,2247
Python,GraphQL,N_Plus_One_List,624.0571729995281,2247
JS,REST,N_Plus_One_List,216.55838300102914,15633223
Python,REST,N_Plus_One_List,381.6444580006646,15633234
JS,REST,Overfetch_Scenario,6.879546999698505,156
JS,GraphQL,Overfetch_Scenario,2.3138050000852672,76
Python,REST,Overfetch_Scenario,17.45459600169852,157
Python,GraphQL,Overfetch_Scenario,4.608021999956691,76
JS,GraphQL,RealWorld_Complex,4.808547999346047,87
Python,GraphQL,RealWorld_Complex,70.60051100052078,87
JS,REST,RealWorld_Complex,13.143570999091025,158
Python,REST,RealWorld_Complex,36.470257000473794,160
JS,GraphQL,N_Plus_One_List,19.481502999042277,2247
Python,GraphQL,N_Plus_One_List,622.5748159995419,2247
JS,REST,N_Plus_One_List,226.50211099971784,15633223
Python,REST,N_Plus_One_List,379.1056629997911,15633234
JS,REST,Overfetch_Scenario,7.9900870005076285,1484
JS,GraphQL,Overfetch_Scenario,2.430452999760746,77
Python,REST,Overfetch_Scenario,17.464564998590504,1485
Python,GraphQL,Overfetch_Scenario,3.542536000168184,77
JS,GraphQL,RealWorld_Complex,4.749477000586921,318
Python,GraphQL,RealWorld_Complex,69.01465099872439,318
JS,REST,RealWorld_Complex,13.610715999675449,2812
Python,REST,RealWorld_Complex,35.131360000377754,2814
JS,GraphQL,N_Plus_One_List,19.855614000334754,2247
Python,GraphQL,N_Plus_One_List,626.761178000379,2247
JS,REST,N_Plus_One_List,218.20729200044298,15633223
Python,REST,N_Plus_One_List,380.10753900016425,15633234
JS,REST,Overfetch_Scenario,7.816061999619706,2024
JS,GraphQL,Overfetch_Scenario,3.076552999118576,73
Python,REST,Overfetch_Scenario,16.81453699893609,2025
Python,GraphQL,Overfetch_Scenario,3.6302410007920116,73
JS,GraphQL,RealWorld_Complex,4.235914999298984,450
Python,GraphQL,RealWorld_Complex,67.00312300017686,450
JS,REST,RealWorld_Complex,13.996698999108048,3892
Python,REST,RealWorld_Complex,33.400596999854315,3894
JS,GraphQL,N_Plus_One_List,20.215448001181358,2247
Python,GraphQL,N_Plus_One_List,618.8787520004553,2247
JS,REST,N_Plus_One_List,214.7092800005339,15633223
Python,REST,N_Plus_One_List,374.7235629998613,15633234
JS,REST,Overfetch_Scenario,7.257303999722353,974
JS,GraphQL,Overfetch_Scenario,2.477931999237626,73
Python,REST,Overfetch_Scenario,16.93669599990244,975
Python,GraphQL,Overfetch_Scenario,3.487713000140502,73
JS,GraphQL,RealWorld_Complex,4.925637000269489,225
Python,GraphQL,RealWorld_Complex,67.36855700000888,225
JS,REST,RealWorld_Complex,14.094873000431107,1788
Python,REST,RealWorld_Complex,34.16501900028379,1790
JS,GraphQL,N_Plus_One_List,18.761504999929457,2247
Python,GraphQL,N_Plus_One_List,625.4349129994807,2247
JS,REST,N_Plus_One_List,217.35363300103927,15633223
Python,REST,N_Plus_One_List,382.36683099967195,15633234
JS,REST,Overfetch_Scenario,6.830104000982828,2321
JS,GraphQL,Overfetch_Scenario,3.2518319985683775,78
Python,REST,Overfetch_Scenario,17.736334000801435,2322
Python,GraphQL,Overfetch_Scenario,3.6237379990780028,78
JS,GraphQL,RealWorld_Complex,4.5359269988693995,526
Python,GraphQL,RealWorld_Complex,67.57314999958908,526
JS,REST,RealWorld_Complex,12.84655499875953,4481
Python,REST,RealWorld_Complex,34.65647899793112,4483
JS,GraphQL,N_Plus_One_List,19.575358999645687,2247
Python,GraphQL,N_Plus_One_List,624.7093339989078,2247
JS,REST,N_Plus_One_List,224.83828399890626,15633223
Python,REST,N_Plus_One_List,372.5914200003899,15633234
JS,REST,Overfetch_Scenario,7.932499000162352,2462
JS,GraphQL,Overfetch_Scenario,2.394535998973879,75
Python,REST,Overfetch_Scenario,16.891682000277797,2463
Python,GraphQL,Overfetch_Scenario,3.3205899999302346,75
JS,GraphQL,RealWorld_Complex,5.603465999229229,532
Python,GraphQL,RealWorld_Complex,69.15622499946039,532
JS,REST,RealWorld_Complex,14.385266998942825,4758
Python,REST,RealWorld_Complex,33.400515998437186,4760
JS,GraphQL,N_Plus_One_List,18.074837998938165,2247
Python,GraphQL,N_Plus_One_List,619.0282930001558,2247
JS,REST,N_Plus_One_List,215.45495700047468,15633223
Python,REST,N_Plus_One_List,372.1653110005718,15633234
JS,REST,Overfetch_Scenario,7.023957999990671,647
JS,GraphQL,Overfetch_Scenario,2.269280999826151,75
Python,REST,Overfetch_Scenario,16.849092000484234,648
Python,GraphQL,Overfetch_Scenario,3.3723569995345315,75
JS,GraphQL,RealWorld_Complex,5.051082000136375,164
Python,GraphQL,RealWorld_Complex,68.22980000106327,164
JS,REST,RealWorld_Complex,12.936372000694973,1132
Python,REST,RealWorld_Complex,34.56586999891442,1134
JS,GraphQL,N_Plus_One_List,21.659121999618947,2247
Python,GraphQL,N_Plus_One_List,620.418807000533,2247
JS,REST,N_Plus_One_List,216.06024100037757,15633223
Python,REST,N_Plus_One_List,378.73106000006374,15633234
JS,REST,Overfetch_Scenario,7.058111999867833,1715
JS,GraphQL,Overfetch_Scenario,2.7448210003058193,78
Python,REST,Overfetch_Scenario,17.63498400032404,1716
Python,GraphQL,Overfetch_Scenario,3.209362001143745,78
JS,GraphQL,RealWorld_Complex,4.8430320002808,414
Python,GraphQL,RealWorld_Complex,66.7222270003549,414
JS,REST,RealWorld_Complex,13.843953000105103,3250
Python,REST,RealWorld_Complex,34.0608130027249,3252
JS,GraphQL,N_Plus_One_List,21.812499999214197,2247
Python,GraphQL,N_Plus_One_List,617.8153710006882,2247
JS,REST,N_Plus_One_List,215.20922700074152,15633223
Python,REST,N_Plus_One_List,373.1900509992556,15633234
JS,REST,Overfetch_Scenario,7.272042001204682,1845
JS,GraphQL,Overfetch_Scenario,2.5367719990754267,74
Python,REST,Overfetch_Scenario,17.35140300115745,1846
Python,GraphQL,Overfetch_Scenario,3.535722999004065,74
JS,GraphQL,RealWorld_Complex,3.8461550011561485,393
Python,GraphQL,RealWorld_Complex,67.63486599993485,393
JS,REST,RealWorld_Complex,13.689803998204297,3536
Python,REST,RealWorld_Complex,34.10636000080558,3538
JS,GraphQL,N_Plus_One_List,19.879217999914545,2247
Python,GraphQL,N_Plus_One_List,619.9572120003722,2247
JS,REST,N_Plus_One_List,222.30104099980963,15633223
Python,REST,N_Plus_One_List,377.69178400048986,15633234
JS,REST,Overfetch_Scenario,7.726614001512644,463
JS,GraphQL,Overfetch_Scenario,2.321359001143719,73
Python,REST,Overfetch_Scenario,17.26303800023743,464
Python,GraphQL,Overfetch_Scenario,3.415237000808702,73
JS,GraphQL,RealWorld_Complex,3.9242110015038634,132
Python,GraphQL,RealWorld_Complex,67.28409900097176,132
JS,REST,RealWorld_Complex,13.080061002256116,748
Python,REST,RealWorld_Complex,34.272179000254255,750
JS,GraphQL,N_Plus_One_List,17.917894998390693,2247
Python,GraphQL,N_Plus_One_List,619.5219569999608,2247
JS,REST,N_Plus_One_List,215.90149300027406,15633223
Python,REST,N_Plus_One_List,373.7988810007664,15633234
JS,REST,Overfetch_Scenario,7.2703890000411775,160
